symbol,entry_time,onset_time,peak_time,entry_price,peak_price,spike_pct,entry_to_peak_minutes,onset_to_peak_minutes
HEMITRY,2026-08-16 09:07:59,2026-08-16 09:07:59,2026-08-16 09:22:59,0.3787,0.399,5.36044,15.0,15.0
ACETRY,2026-08-16 09:32:59,2026-08-16 09:41:59,2026-08-16 09:47:59,7.2,7.6,5.55556,15.0,6.0
PIXELTRY,2026-08-16 09:58:59,2026-08-16 09:58:59,2026-08-16 10:13:59,0.253,0.266,5.13834,15.0,15.0
HEMITRY,2026-08-16 10:01:59,2026-08-16 10:01:59,2026-08-16 10:07:59,0.3989,0.419,5.03886,6.0,6.0
RONINTRY,2026-08-16 10:09:59,2026-08-16 10:15:59,2026-08-16 10:24:59,2.39,2.55,6.69456,15.0,9.0
DOLOTRY,2026-08-16 10:10:59,2026-08-16 10:10:59,2026-08-16 10:23:59,1.059,1.116,5.38244,13.0,13.0
XAITRY,2026-08-16 10:19:59,2026-08-16 10:22:59,2026-08-16 10:34:59,0.3348,0.3556,6.21266,15.0,12.0
HEMITRY,2026-08-16 10:22:59,2026-08-16 10:19:59,2026-08-16 10:37:59,0.4032,0.4302,6.69643,15.0,18.0
DOLOTRY,2026-08-16 10:38:59,2026-08-16 10:30:59,2026-08-16 10:43:59,1.142,1.279,11.9965,5.0,13.0
KAITOTRY,2026-08-16 10:38:59,2026-08-16 10:44:59,2026-08-16 10:53:59,16.8,18.027,7.30357,15.0,9.0
RONINTRY,2026-08-16 11:04:59,2026-08-16 11:05:59,2026-08-16 11:19:59,2.43,2.6,6.99588,15.0,14.0
COTITRY,2026-08-16 11:19:59,2026-08-16 11:19:59,2026-08-16 11:34:59,0.4908,0.5251,6.98859,15.0,15.0
FORMTRY,2026-08-16 11:26:59,2026-08-16 11:26:59,2026-08-16 11:41:59,9.67,10.18,5.27404,15.0,15.0
DOLOTRY,2026-08-16 11:38:59,2026-08-16 11:41:59,2026-08-16 11:53:59,1.093,1.148,5.03202,15.0,12.0
RONINTRY,2026-08-16 11:53:59,2026-08-16 11:54:59,2026-08-16 12:08:59,2.43,2.57,5.76132,15.0,14.0
HEMITRY,2026-08-16 12:41:59,2026-08-16 12:42:59,2026-08-16 12:51:59,0.3883,0.4087,5.25367,10.0,9.0
MOVRTRY,2026-08-16 12:52:59,2026-08-16 12:57:59,2026-08-16 13:07:59,38.7,42.3,9.30233,15.0,10.0
ALICETRY,2026-08-16 13:00:59,2026-08-16 13:00:59,2026-08-16 13:15:59,6.39,6.8,6.41628,15.0,15.0
MOVRTRY,2026-08-16 13:22:59,2026-08-16 13:19:59,2026-08-16 13:34:59,39.3,42.8,8.90585,12.0,15.0
RVNTRY,2026-08-16 13:26:59,2026-08-16 13:26:59,2026-08-16 13:41:59,0.1304,0.1409,8.05215,15.0,15.0
SYRUPTRY,2026-08-16 13:38:59,2026-08-16 13:38:59,2026-08-16 13:53:59,7.69,9.69,26.0078,15.0,15.0
DODOTRY,2026-08-16 13:43:59,2026-08-16 13:58:59,2026-08-16 13:58:59,0.9572,1.018,6.35186,15.0,0.0
CHIPTRY,2026-08-16 13:50:59,2026-08-16 13:50:59,2026-08-16 14:03:59,1.4018,1.4726,5.05065,13.0,13.0
DOLOTRY,2026-08-16 13:56:59,2026-08-16 13:56:59,2026-08-16 14:11:59,1.142,1.204,5.42907,15.0,15.0
GPSTRY,2026-08-16 14:18:59,2026-08-16 14:19:59,2026-08-16 14:21:59,0.494,0.531,7.48988,3.0,2.0
EDENTRY,2026-08-16 14:21:59,2026-08-16 14:21:59,2026-08-16 14:34:59,2.16,2.27,5.09259,13.0,13.0
HEMITRY,2026-08-16 14:22:59,2026-08-16 14:31:59,2026-08-16 14:37:59,0.309,0.3323,7.54045,15.0,6.0
PORTALTRY,2026-08-16 14:32:59,2026-08-16 14:34:59,2026-08-16 14:47:59,0.5888,0.629,6.82745,15.0,13.0
HEITRY,2026-08-16 14:46:59,2026-08-16 14:46:59,2026-08-16 15:01:59,6.485,6.89,6.24518,15.0,15.0
PORTALTRY,2026-08-16 15:02:59,2026-08-16 15:02:59,2026-08-16 15:17:59,0.5989,0.6387,6.64552,15.0,15.0
