symbol,entry_time,onset_time,peak_time,entry_price,peak_price,spike_pct,entry_to_peak_minutes,onset_to_peak_minutes
HEMITRY,2026-08-17 20:12:59,2026-08-17 20:19:59,2026-08-17 20:27:59,0.3316,0.353,6.45356,15.0,8.0
COMPTRY,2026-08-17 21:06:59,2026-08-17 21:06:59,2026-08-17 21:21:59,834.0,879.0,5.39568,15.0,15.0
POLTRY,2026-08-17 21:18:59,2026-08-17 21:18:59,2026-08-17 21:33:59,3.767,4.05,7.51261,15.0,15.0
NILTRY,2026-08-17 21:36:59,2026-08-17 21:39:59,2026-08-17 21:51:59,2.196,2.325,5.87432,15.0,12.0
SAGATRY,2026-08-18 00:30:59,2026-08-18 00:33:59,2026-08-18 00:45:59,0.652,0.69,5.82822,15.0,12.0
BMTTRY,2026-08-18 00:52:59,2026-08-18 00:52:59,2026-08-18 01:07:59,0.758,0.797,5.14512,15.0,15.0
CFGTRY,2026-08-18 01:45:59,2026-08-18 01:45:59,2026-08-18 02:00:59,7.55,7.979,5.68212,15.0,15.0
PORTALTRY,2026-08-18 02:10:59,2026-08-18 02:16:59,2026-08-18 02:25:59,0.7111,0.7478,5.16102,15.0,9.0
BMTTRY,2026-08-18 03:12:59,2026-08-18 03:12:59,2026-08-18 03:27:59,0.795,0.838,5.40881,15.0,15.0
GPSTRY,2026-08-18 04:02:59,2026-08-18 04:03:59,2026-08-18 04:15:59,0.77,0.814,5.71429,13.0,12.0
ACETRY,2026-08-18 04:19:59,2026-08-18 04:21:59,2026-08-18 04:31:59,7.368,7.75,5.18458,12.0,10.0
COWTRY,2026-08-18 04:19:59,2026-08-18 04:19:59,2026-08-18 04:34:59,5.2,5.47,5.19231,15.0,15.0
GPSTRY,2026-08-18 04:37:59,2026-08-18 04:38:59,2026-08-18 04:46:59,0.766,0.807,5.35248,9.0,8.0
GPSTRY,2026-08-18 05:10:59,2026-08-18 05:11:59,2026-08-18 05:25:59,0.797,0.884,10.91593,15.0,14.0
GPSTRY,2026-08-18 06:29:59,2026-08-18 06:32:59,2026-08-18 06:44:59,0.785,0.827,5.35032,15.0,12.0
OPENTRY,2026-08-18 06:45:59,2026-08-18 06:45:59,2026-08-18 07:00:59,7.979,8.671,8.67277,15.0,15.0
REDTRY,2026-08-18 07:33:59,2026-08-18 07:38:59,2026-08-18 07:48:59,4.25,4.51,6.11765,15.0,10.0
EDENTRY,2026-08-18 07:56:59,2026-08-18 07:57:59,2026-08-18 08:11:59,2.321,2.463,6.11805,15.0,14.0
REDTRY,2026-08-18 08:18:59,2026-08-18 08:23:59,2026-08-18 08:30:59,4.95,5.28,6.66667,12.0,7.0
OPGTRY,2026-08-18 08:31:59,2026-08-18 08:38:59,2026-08-18 08:46:59,4.89,5.2,6.33947,15.0,8.0
DOLOTRY,2026-08-18 08:38:59,2026-08-18 08:38:59,2026-08-18 08:53:59,1.111,1.194,7.47075,15.0,15.0
GPSTRY,2026-08-18 08:40:59,2026-08-18 08:41:59,2026-08-18 08:55:59,0.785,0.827,5.35032,15.0,14.0
ACETRY,2026-08-18 08:54:59,2026-08-18 08:54:59,2026-08-18 09:09:59,7.284,7.72,5.98572,15.0,15.0
ACETRY,2026-08-18 09:24:59,2026-08-18 09:20:59,2026-08-18 09:37:59,8.181,8.798,7.54187,13.0,17.0
EDENTRY,2026-08-18 09:32:59,2026-08-18 09:35:59,2026-08-18 09:47:59,2.436,2.587,6.19869,15.0,12.0
ALICETRY,2026-08-18 09:45:59,2026-08-18 09:46:59,2026-08-18 10:00:59,6.18,6.52,5.50162,15.0,14.0
ETHFITRY,2026-08-18 09:45:59,2026-08-18 09:53:59,2026-08-18 10:00:59,23.4,24.6,5.12821,15.0,7.0
EDENTRY,2026-08-18 10:02:59,2026-08-18 09:56:59,2026-08-18 10:12:59,2.709,2.899,7.01366,10.0,16.0
HEITRY,2026-08-18 10:05:59,2026-08-18 10:06:59,2026-08-18 10:20:59,6.155,6.488,5.41024,15.0,14.0
ACETRY,2026-08-18 10:09:59,2026-08-18 10:10:59,2026-08-18 10:20:59,8.879,9.35,5.30465,11.0,10.0
ACETRY,2026-08-18 10:56:59,2026-08-18 10:56:59,2026-08-18 11:11:59,9.129,9.59,5.04984,15.0,15.0
INITTRY,2026-08-18 11:22:59,2026-08-18 11:22:59,2026-08-18 11:37:59,2.37,2.62,10.54852,15.0,15.0
HEMITRY,2026-08-18 11:23:59,2026-08-18 11:28:59,2026-08-18 11:38:59,0.3224,0.3417,5.98635,15.0,10.0
GIGGLETRY,2026-08-18 11:24:59,2026-08-18 11:35:59,2026-08-18 11:39:59,1605.0,1740.0,8.41121,15.0,4.0
REDTRY,2026-08-18 11:41:59,2026-08-18 11:47:59,2026-08-18 11:56:59,4.68,5.02,7.26496,15.0,9.0
HEMITRY,2026-08-18 11:56:59,2026-08-18 11:56:59,2026-08-18 12:10:59,0.3324,0.3514,5.716,14.0,14.0
EDENTRY,2026-08-18 13:08:59,2026-08-18 13:08:59,2026-08-18 13:23:59,2.559,2.69,5.11919,15.0,15.0
GPSTRY,2026-08-18 13:39:59,2026-08-18 13:41:59,2026-08-18 13:54:59,0.837,0.886,5.85424,15.0,13.0
EDENTRY,2026-08-18 13:44:59,2026-08-18 13:44:59,2026-08-18 13:59:59,2.608,2.752,5.52147,15.0,15.0
ACETRY,2026-08-18 14:17:59,2026-08-18 14:18:59,2026-08-18 14:32:59,8.65,9.104,5.24855,15.0,14.0
HEMITRY,2026-08-18 14:19:59,2026-08-18 14:20:59,2026-08-18 14:34:59,0.3162,0.3331,5.34472,15.0,14.0
GPSTRY,2026-08-18 14:40:59,2026-08-18 14:39:59,2026-08-18 14:54:59,0.839,0.883,5.24434,14.0,15.0
ACETRY,2026-08-18 15:00:59,2026-08-18 15:00:59,2026-08-18 15:15:59,9.15,9.608,5.00546,15.0,15.0
ACETRY,2026-08-18 15:30:59,2026-08-18 15:24:59,2026-08-18 15:45:59,9.824,10.633,8.23493,15.0,21.0
ACETRY,2026-08-18 16:00:59,2026-08-18 15:59:59,2026-08-18 16:06:59,10.459,11.0,5.17258,6.0,7.0
ACETRY,2026-08-18 16:36:59,2026-08-18 16:38:59,2026-08-18 16:45:59,10.587,11.158,5.39341,9.0,7.0
ACETRY,2026-08-18 17:06:59,2026-08-18 17:06:59,2026-08-18 17:14:59,10.5,11.139,6.08571,8.0,8.0
ATOMTRY,2026-08-18 17:14:59,2026-08-18 17:14:59,2026-08-18 17:29:59,66.7,74.6,11.84408,15.0,15.0
HEITRY,2026-08-18 17:25:59,2026-08-18 17:25:59,2026-08-18 17:40:59,6.642,7.066,6.38362,15.0,15.0
ALPINETRY,2026-08-18 17:51:59,2026-08-18 17:52:59,2026-08-18 18:06:59,14.85,15.6,5.05051,15.0,14.0
OPNTRY,2026-08-18 17:57:59,2026-08-18 17:58:59,2026-08-18 18:12:59,2.84,2.99,5.28169,15.0,14.0
PORTOTRY,2026-08-18 18:03:59,2026-08-18 18:03:59,2026-08-18 18:18:59,19.92,21.26,6.72691,15.0,15.0
SANTOSTRY,2026-08-18 18:03:59,2026-08-18 18:03:59,2026-08-18 18:18:59,22.29,23.48,5.33872,15.0,15.0
LAZIOTRY,2026-08-18 18:05:59,2026-08-18 18:09:59,2026-08-18 18:20:59,16.29,17.13,5.15654,15.0,11.0
STRAXTRY,2026-08-18 18:16:59,2026-08-18 18:16:59,2026-08-18 18:31:59,0.402,0.426,5.97015,15.0,15.0
ALPINETRY,2026-08-18 18:30:59,2026-08-18 18:38:59,2026-08-18 18:45:59,16.74,17.79,6.2724,15.0,7.0
LAZIOTRY,2026-08-18 18:36:59,2026-08-18 18:36:59,2026-08-18 18:51:59,16.32,17.2,5.39216,15.0,15.0
WCTTRY,2026-08-18 18:52:59,2026-08-18 18:52:59,2026-08-18 19:07:59,1.639,1.727,5.36913,15.0,15.0
ALPINETRY,2026-08-18 19:18:59,2026-08-18 19:18:59,2026-08-18 19:33:59,18.7,19.9,6.41711,15.0,15.0
