[START] strategy=BB_MFI_MEAN_REVERSION initial=10000.00 TRY window=2026-08-10T00:24:02+00:00..2026-08-10T21:24:02+00:00
[DATA] ETCTRY source=BinanceTR-public interval=5m candles=575
[DATA] ETHTRY source=BinanceTR-public interval=5m candles=575
[DATA] ETHFITRY source=BinanceTR-public interval=5m candles=575
[DATA] ESPTRY source=BinanceTR-public interval=5m candles=575
[DATA] EULTRY source=BinanceTR-public interval=5m candles=575
[DATA] FDUSDTRY source=BinanceTR-public interval=5m candles=575
[DATA] FETTRY source=BinanceTR-public interval=5m candles=575
[DATA] FFTRY source=BinanceTR-public interval=5m candles=575
[DATA] FLOKITRY source=BinanceTR-public interval=5m candles=575
[DATA] FILTRY source=BinanceTR-public interval=5m candles=575
[DATA] FOGOTRY source=BinanceTR-public interval=5m candles=575
[DATA] FIDATRY source=BinanceTR-public interval=5m candles=575
[DATA] FORMTRY source=BinanceTR-public interval=5m candles=575
[DATA] GALATRY source=BinanceTR-public interval=5m candles=575
[DATA] GASTRY source=BinanceTR-public interval=5m candles=575
[DATA] FTRY source=BinanceTR-public interval=5m candles=575
[DATA] GIGGLETRY source=BinanceTR-public interval=5m candles=575
[DATA] GMTTRY source=BinanceTR-public interval=5m candles=575
[DATA] GPSTRY source=BinanceTR-public interval=5m candles=575
[DATA] GRAMTRY source=BinanceTR-public interval=5m candles=575
[DATA] GTRY source=BinanceTR-public interval=5m candles=575
[DATA] GRTTRY source=BinanceTR-public interval=5m candles=575
[DATA] HAEDALTRY source=BinanceTR-public interval=5m candles=575
[DATA] HBARTRY source=BinanceTR-public interval=5m candles=575
[DATA] GUNTRY source=BinanceTR-public interval=5m candles=575
[DATA] HEITRY source=BinanceTR-public interval=5m candles=575
[DATA] HEMITRY source=BinanceTR-public interval=5m candles=575
[DATA] HOLOTRY source=BinanceTR-public interval=5m candles=575
[DATA] HIVETRY source=BinanceTR-public interval=5m candles=575
[DATA] HMSTRTRY source=BinanceTR-public interval=5m candles=575
[DATA] HOMETRY source=BinanceTR-public interval=5m candles=575
[DATA] HUMATRY source=BinanceTR-public interval=5m candles=575
[DATA] HYPERTRY source=BinanceTR-public interval=5m candles=575
[DATA] HOTTRY source=BinanceTR-public interval=5m candles=575
[DATA] IDTRY source=BinanceTR-public interval=5m candles=575
[DATA] ICPTRY source=BinanceTR-public interval=5m candles=575
[DATA] INITTRY source=BinanceTR-public interval=5m candles=575
[DATA] GENIUSTRY source=BinanceTR-public interval=5m candles=575
[DATA] INJTRY source=BinanceTR-public interval=5m candles=575
[DATA] JASMYTRY source=BinanceTR-public interval=5m candles=575
[DATA] IOTATRY source=BinanceTR-public interval=5m candles=575
[DATA] JTOTRY source=BinanceTR-public interval=5m candles=575
[DATA] IOTRY source=BinanceTR-public interval=5m candles=575
[DATA] JUPTRY source=BinanceTR-public interval=5m candles=575
[DATA] KAITOTRY source=BinanceTR-public interval=5m candles=575
[DATA] KATTRY source=BinanceTR-public interval=5m candles=575
[DATA] JUVTRY source=BinanceTR-public interval=5m candles=575
[DATA] KITETRY source=BinanceTR-public interval=5m candles=575
[DATA] KERNELTRY source=BinanceTR-public interval=5m candles=575
[DATA] KSMTRY source=BinanceTR-public interval=5m candles=575
[DATA] LATRY source=BinanceTR-public interval=5m candles=575
[DATA] LAZIOTRY source=BinanceTR-public interval=5m candles=575
[DATA] LAYERTRY source=BinanceTR-public interval=5m candles=575
[DATA] LINEATRY source=BinanceTR-public interval=5m candles=575
[DATA] LINKTRY source=BinanceTR-public interval=5m candles=575
[DATA] LDOTRY source=BinanceTR-public interval=5m candles=575
[DATA] LISTATRY source=BinanceTR-public interval=5m candles=575
[DATA] LUMIATRY source=BinanceTR-public interval=5m candles=575
[DATA] LTCTRY source=BinanceTR-public interval=5m candles=575
[DATA] LUNATRY source=BinanceTR-public interval=5m candles=575
[DATA] LPTTRY source=BinanceTR-public interval=5m candles=575
[DATA] MANTATRY source=BinanceTR-public interval=5m candles=575
[DATA] LUNCTRY source=BinanceTR-public interval=5m candles=575
[DATA] MAGICTRY source=BinanceTR-public interval=5m candles=575
[DATA] MANTRATRY source=BinanceTR-public interval=5m candles=575
[DATA] MANATRY source=BinanceTR-public interval=5m candles=575
[DATA] MAVTRY source=BinanceTR-public interval=5m candles=575
[DATA] MEMETRY source=BinanceTR-public interval=5m candles=575
