symbol,entry_time,onset_time,peak_time,spike_pct,lag_minutes,close,return_1m_pct,return_3m_pct,return_5m_pct,return_15m_pct,rsi_14,cmo_14,stoch_k,stoch_d,cci_20,adx_14,di_gap,ema9_21_gap_pct,ema_cross_up,macd_histogram_pct,roc_10_pct,atr_pct,bb_position,bb_width_pct,volume_ratio_20,cmf_20,obv_slope_5,body_pct,range_pct,close_position_in_range
ACETRY,2026-08-15 21:58:59,2026-08-15 21:59:59,2026-08-15 22:13:59,5.00503,3,7.884,-0.49223779,-0.71779373,-0.32869785,-1.63443543,41.82411329,-13.125,4.06504065,15.35859778,-56.99460862,19.9505018,2.72314675,-0.23569345,0,0.06721177,-0.21516264,0.00598862,0.25558004,0.01905966,0.49101841,0.05106784,-0.0428757,-0.54244985,0.65956367,0.09615385
ACETRY,2026-08-15 21:58:59,2026-08-15 21:59:59,2026-08-15 22:13:59,5.00503,5,7.891,-0.62964362,-0.24020228,-0.92906466,-0.0633232,41.54723068,-27.27272727,7.33333333,31.54375722,-19.74606784,26.69258745,-0.68306011,-0.22184663,0,0.10136275,-0.08863003,0.00662599,0.31942954,0.01951159,0.94612838,0.03948744,-0.54133629,-0.70466843,1.02648587,0.13580247
ACETRY,2026-08-15 21:58:59,2026-08-15 21:59:59,2026-08-15 22:13:59,5.00503,10,7.965,0.30222894,0.81002405,0.84831603,1.25858124,49.13409892,19.14893617,70.18348624,64.22018349,117.05917277,46.31958207,14.78463329,-0.25090232,0,0.18499293,0.87386018,0.00770334,0.80088938,0.02173445,0.77191376,0.02671842,0.82582558,0.17607848,0.64030132,0.2745098
COWTRY,2026-08-15 22:07:59,2026-08-15 22:16:59,2026-08-15 22:22:59,6.12855,0,6.65,-0.59790732,-0.74626866,-1.33531157,-1.18870728,41.13098223,-30.43478261,6.66666667,17.05738706,-111.51515152,38.08095975,-21.53846154,-0.41327784,0,-0.10789516,-1.62721893,0.00698174,0.07088417,0.02616061,0.99111062,0.02437953,-0.16587709,-0.59790732,0.90225564,0.16666667
COWTRY,2026-08-15 22:07:59,2026-08-15 22:16:59,2026-08-15 22:22:59,6.12855,1,6.69,0.1497006,0.0,-1.32743363,0.29985007,44.7410056,-8.33333333,23.07692308,31.5018315,-75.42026352,37.08889626,-6.15384615,-0.34973592,0,-0.07976767,-1.03550296,0.00694,0.25017283,0.02526812,0.57164313,0.04103944,-0.02662293,0.1497006,0.29895366,0.5
COWTRY,2026-08-15 22:07:59,2026-08-15 22:16:59,2026-08-15 22:22:59,6.12855,3,6.7,0.14947683,-1.179941,0.6006006,-1.03397341,45.34312113,-10.0,50.0,55.55555556,-99.32967703,38.94319417,-22.89156627,-0.30332589,0,-0.07164412,-1.32547865,0.00884861,0.25,0.02668643,1.35453883,0.02701608,0.50415514,0.0,0.74626866,0.8
COWTRY,2026-08-15 22:07:59,2026-08-15 22:16:59,2026-08-15 22:22:59,6.12855,5,6.74,-0.5899705,1.2012012,-0.29585799,-0.73637703,48.59269939,-3.57142857,72.22222222,69.84126984,-7.07583449,35.91416437,-15.0,-0.23210748,0,-0.04209891,0.14858841,0.00847817,0.40281807,0.02892582,0.37228299,0.06998346,0.0549112,-0.5899705,0.59347181,0.0
COWTRY,2026-08-15 22:07:59,2026-08-15 22:16:59,2026-08-15 22:22:59,6.12855,10,6.76,0.0,-0.44182622,0.44576523,-0.14771049,48.73729943,-17.94871795,62.5,59.72222222,-22.47191011,27.82920398,-27.27272727,-0.15690674,0,-0.07416247,-0.44182622,0.0069738,0.40623868,0.02282796,0.30141598,0.05058572,0.11007937,0.0,0.44378698,0.33333333
ALPINETRY,2026-08-15 22:26:59,2026-08-15 22:26:59,2026-08-15 22:41:59,5.26316,0,15.39,0.26058632,0.65402224,0.78585462,0.91803279,87.61608649,70.0,93.33333333,85.27777778,270.31219701,86.587726,72.0,0.24015802,0,0.04848111,0.91803279,0.00116031,1.27121114,0.00984763,6.66818237,0.47682758,1.0,0.06501951,0.12995452,0.5
ALPINETRY,2026-08-15 22:26:59,2026-08-15 22:26:59,2026-08-15 22:41:59,5.26316,1,15.35,0.32679739,0.39241334,0.39241334,0.6557377,84.15835157,62.5,100.0,70.83333333,222.22222222,87.8864273,65.0,0.18863047,0,0.0215061,0.6557377,0.00093067,1.27277038,0.00703516,44.03969669,0.64675326,0.94489366,0.19582245,0.19543974,1.0
ALPINETRY,2026-08-15 22:26:59,2026-08-15 22:26:59,2026-08-15 22:41:59,5.26316,3,15.29,0.0,0.0,0.26229508,0.26229508,74.27166193,40.0,50.0,41.66666667,136.17021277,86.98773449,50.0,0.14738175,0,-0.0028408,0.26229508,0.00065402,0.93008266,0.00487641,0.0,-0.12080353,-0.02667786,0.0,0.0,
ALPINETRY,2026-08-15 22:26:59,2026-08-15 22:26:59,2026-08-15 22:41:59,5.26316,5,15.27,-0.13080445,0.13114754,0.13114754,0.13114754,69.05537253,25.0,25.0,53.57142857,132.17559093,85.83333333,50.0,0.1424858,0,-0.00715925,0.13114754,0.00056132,0.74536553,0.00521119,1.55104879,-0.12569927,-0.12048358,-0.06544503,0.06548788,0.0
ALPINETRY,2026-08-15 22:26:59,2026-08-15 22:26:59,2026-08-15 22:41:59,5.26316,10,15.25,0.0,0.0,0.0,0.32894737,89.39574219,100.0,100.0,100.0,59.70149254,74.68820862,100.0,0.13571164,0,-0.02306528,0.0,0.00023419,0.69034675,0.00689898,0.0,-0.08516017,0.0,0.0,0.0,
HEMITRY,2026-08-15 23:12:59,2026-08-15 23:13:59,2026-08-15 23:24:59,5.34467,0,0.3311,0.54661403,-1.1641791,-2.04142012,-1.92535545,43.7808742,-24.54212454,28.88888889,26.93415638,-237.99311107,23.62453567,-16.52360515,-0.04811202,0,-0.26591698,-1.60475483,0.01005307,0.01007155,0.02832855,1.83291723,-0.13851401,0.12206592,0.45509709,1.17789188,1.0
HEMITRY,2026-08-15 23:12:59,2026-08-15 23:13:59,2026-08-15 23:24:59,5.34467,1,0.3293,-2.11058264,-2.28486647,-2.91863208,-1.7601432,39.75860695,-32.29571984,5.0,27.18106996,-229.26271821,24.24332333,-10.88888889,0.09237028,0,-0.21451329,-1.81872391,0.00976096,-0.2898967,0.02550284,1.08950274,-0.14179253,-0.30824885,-1.99404762,2.21682357,0.08219178
HEMITRY,2026-08-15 23:12:59,2026-08-15 23:13:59,2026-08-15 23:24:59,5.34467,3,0.335,-0.59347181,-1.23820755,-0.62296055,0.38957147,50.66981835,4.34782609,29.62962963,50.20576132,-2.95331947,26.6570817,6.76691729,0.40928707,0,-0.04272382,-0.17878427,0.00850746,0.4211569,0.02927451,0.8719577,-0.0982296,-0.75161595,-0.59347181,0.59701493,0.0
HEMITRY,2026-08-15 23:12:59,2026-08-15 23:13:59,2026-08-15 23:24:59,5.34467,5,0.338,-0.35377358,0.26698309,0.44576523,0.20753039,58.58318343,9.26829268,66.66666667,69.57502374,98.65130404,27.70624539,9.45273632,0.58155684,0,0.06660072,0.11848341,0.00849535,0.7340339,0.03659231,1.0492379,-0.00718143,-0.44495953,-0.35377358,0.59171598,0.0
HEMITRY,2026-08-15 23:12:59,2026-08-15 23:13:59,2026-08-15 23:24:59,5.34467,10,0.3365,0.32796661,0.2681764,-0.32582938,2.21749696,59.12106587,33.02752294,79.50819672,71.03825137,66.35383222,24.56685107,9.17225951,0.55144534,0,0.10620091,-0.23717759,0.00948843,0.76081449,0.04227775,0.51717551,0.26727526,-0.05067059,0.29806259,0.56463596,1.0
REDTRY,2026-08-15 23:17:59,2026-08-15 23:17:59,2026-08-15 23:32:59,6.78733,0,4.42,0.0,0.0,-0.22573363,0.22675737,59.7793472,-20.0,50.0,45.23809524,26.14379085,56.70222635,-16.66666667,0.2282113,0,-0.03458056,0.0,0.00193924,0.57985957,0.01418118,0.26417078,-0.33406637,-0.39437263,0.0,0.0,
REDTRY,2026-08-15 23:17:59,2026-08-15 23:17:59,2026-08-15 23:32:59,6.78733,1,4.42,0.0,-0.22573363,0.6833713,0.45454545,59.7793472,7.69230769,42.85714286,45.23809524,31.47353362,62.0593692,5.88235294,0.24581362,0,-0.02882571,-0.22573363,0.00274725,0.60086832,0.01572568,0.03005883,-0.33871114,0.71386036,0.0,0.0,
REDTRY,2026-08-15 23:17:59,2026-08-15 23:17:59,2026-08-15 23:32:59,6.78733,3,4.42,-0.22573363,0.6833713,0.0,0.6833713,59.7793472,20.0,50.0,58.33333333,42.52968793,73.65491651,22.72727273,0.28208162,0,-0.01398484,-0.22573363,0.00355527,0.63720532,0.0206703,0.35159281,-0.34169962,-0.13000099,0.0,0.0,
REDTRY,2026-08-15 23:17:59,2026-08-15 23:17:59,2026-08-15 23:32:59,6.78733,5,4.43,0.91116173,0.22624434,0.22624434,1.14155251,65.45457226,28.57142857,62.5,33.33333333,67.61904762,82.49845393,28.57142857,0.28326418,0,-0.01821264,0.45351474,0.003386,0.77205359,0.02506191,3.20440841,-0.34378738,-0.07926904,0.45351474,0.45146727,1.0
REDTRY,2026-08-15 23:17:59,2026-08-15 23:17:59,2026-08-15 23:32:59,6.78733,10,4.42,-0.22573363,-0.22573363,0.22675737,1.6091954,71.831016,63.63636364,63.63636364,69.6969697,82.96296296,85.23809524,55.55555556,0.47914341,0,0.12294733,0.91324201,0.00290886,0.77031073,0.03122964,1.68971693,-0.3274315,-0.85330797,0.0,0.0,
COWTRY,2026-08-15 23:19:59,2026-08-15 23:20:59,2026-08-15 23:34:59,5.72289,0,6.62,-0.30120482,-1.48809524,-1.19402985,-2.21565731,30.24204428,-44.44444444,16.0,18.76767677,-142.8314445,43.51356052,-25.35211268,-0.77116798,0,-0.12787811,-2.21565731,0.00766077,0.04087579,0.0438449,2.06175424,-0.16360573,-0.70190415,-0.45112782,1.51057402,0.4
COWTRY,2026-08-15 23:19:59,2026-08-15 23:20:59,2026-08-15 23:34:59,5.72289,1,6.64,-1.19047619,-0.74738416,-0.5988024,-2.20913108,31.89712362,-37.14285714,13.63636364,20.84175084,-128.44036697,40.9954565,-23.07692308,-0.69037121,0,-0.09185561,-2.49632893,0.00699225,0.04544721,0.04160689,2.44426263,-0.05352113,-0.38518293,-1.19047619,1.80722892,0.25
COWTRY,2026-08-15 23:19:59,2026-08-15 23:20:59,2026-08-15 23:34:59,5.72289,3,6.72,0.44843049,0.5988024,0.1490313,-2.18340611,40.03527574,-38.88888889,22.22222222,12.24867725,-94.59459459,35.12244063,-33.87096774,-0.6564592,0,-0.08845482,-1.3215859,0.00659014,0.26552987,0.03743103,0.60877608,-0.05388827,-0.2314136,0.44843049,0.44642857,1.0
COWTRY,2026-08-15 23:19:59,2026-08-15 23:20:59,2026-08-15 23:34:59,5.72289,5,6.7,0.2994012,-0.1490313,-1.03397341,-2.33236152,35.63534576,-54.28571429,9.52380952,4.68975469,-137.9745239,25.75558028,-33.87096774,-0.69373387,0,-0.14898169,-1.03397341,0.00660981,0.1161807,0.03472322,0.61476684,-0.0429965,-0.5085517,0.0,0.59701493,0.5
COWTRY,2026-08-15 23:19:59,2026-08-15 23:20:59,2026-08-15 23:34:59,5.72289,10,6.77,-0.58737151,-0.58737151,0.0,-0.73313783,40.50022366,-6.66666667,27.77777778,46.2962963,-124.20785805,23.22132879,-10.95890411,-0.36209689,0,-0.00636025,-1.31195335,0.00770205,0.11771394,0.02012924,1.51857943,0.10140897,0.06778727,-0.44117647,0.73855244,0.2
REDTRY,2026-08-15 23:47:59,2026-08-15 23:42:59,2026-08-16 00:02:59,17.52809,0,4.41,-0.67567568,-0.8988764,-1.34228188,-1.5625,43.96315086,-12.72727273,3.125,6.41801075,-134.37558161,67.76410878,20.23809524,-0.15771094,0,-0.21991594,-1.34228188,0.01360544,0.18125238,0.0428034,0.6330614,-0.12359961,-0.19903781,-0.45146727,0.68027211,0.33333333
REDTRY,2026-08-15 23:47:59,2026-08-15 23:42:59,2026-08-16 00:02:59,17.52809,1,4.44,0.22573363,-1.33333333,0.45248869,-0.44843049,47.9193391,-7.69230769,9.67741935,9.67741935,-90.53497942,69.74749125,24.3902439,-0.05097622,0,-0.18010063,-4.10367171,0.01319176,0.32086369,0.04118428,0.347668,-0.11278344,0.33372525,0.22573363,0.22522523,1.0
REDTRY,2026-08-15 23:47:59,2026-08-15 23:42:59,2026-08-16 00:02:59,17.52809,3,4.45,-1.11111111,0.67873303,0.22522523,-0.66964286,49.03638055,-5.66037736,12.90322581,20.43010753,-15.26149265,69.30951002,27.05882353,0.09400463,0,-0.13726759,-0.8908686,0.01364366,0.38675424,0.04245836,0.26279114,-0.12252164,-0.5764274,-0.8908686,1.12359551,0.0
REDTRY,2026-08-15 23:47:59,2026-08-15 23:42:59,2026-08-16 00:02:59,17.52809,5,4.47,1.13122172,0.67567568,0.0,0.4494382,52.41611749,2.12765957,19.35483871,8.63799283,-22.31237323,71.62122269,31.70731707,0.07710826,0,-0.18823449,-0.22321429,0.01310323,0.52031111,0.04409685,0.23281952,-0.13529394,-0.90834746,0.4494382,0.89485459,1.0
